Sentimen,Comment
neutral,kulon progo sebelah mananya iniii
neutral,saraswati
positive,apik  ka
neutral,matur nuwun
positive,cakeb amat sikkkkk
neutral,prihartono kelas bosku
neutral,matur nuwun
neutral,location
positive,bu kakak dhbthaufa hayuk ke sinii
positive,berasa banget udara persawahan jangan lupa mampir ya gaes indosatkp klik widodoputra leenaa 
neutral,spill dulu bund wkw
positive,co keknya asik
positive,mugakno bapakku matun betah ra bali
positive,info dong sawahnya ijo apa baru panen
positive,gaaaass
positive,nena gas yo
positive,yuk kesini mba ast
positive,ketoke puanas
positive,kesini tiiibagus viewnya
positive,handoko ini yg dimaksud
negative,ojo pas wayah panen
neutral,nanggulan
positive,mahaloka rung sido wes andang ono iki wulandari ismiy
neutral,yg pas kita lewat yang
neutral,beni
negative,gaada menu makanan besar cuman minum dan pop mie aja masuk situ ada tiketnya weekday  weekend  kek marketingnya hea sky sih kirain beli aja dan ad menu makanan gaada tiket masuk
neutral,tirta enggal
positive,ndene yok ta
positive,nice
positive,next tripp
negative,ini wisatanya orang kota yg belom pernah liat sawah yg suka selfie gaya gayaan jangan sampe ngrusak lahan para petani
neutral,rahmawati
negative,pokoknya jgn pas panen yaa ke situ nya
neutral,tebasane nggo combi po nggo tenaga iki
neutral,athika pie ndan
neutral,violita
